path	duration_s	bitrate_kbps	sample_rate	channels	codec	size_bytes	result	note
Bloodlines/01 - The Grandmothers' Fire.mp3	177.168000	181	48000	2	mp3	4029081	ok	
Bloodlines/02 - The Busaw Bargain.mp3	169.032000	182	48000	2	mp3	3863852	ok	
Bloodlines/03 - What the Feasts Fed.mp3	218.040000	185	48000	2	mp3	5061141	ok	
Bloodlines/04 - The Mangkukulam's Trade.mp3	188.352000	181	48000	2	mp3	4282983	ok	
Bloodlines/05 - The Grandmother Too Old.mp3	149.640000	183	48000	2	mp3	3431738	ok	
Bloodlines/06 - The Babaylan Who Turned.mp3	166.728000	180	48000	2	mp3	3764627	ok	
Bloodlines/07 - The Dowry of Deep Earth.mp3	157.848000	182	48000	2	mp3	3598775	ok	
Bloodlines/08 - The Table Set for Ghosts.mp3	131.928000	183	48000	2	mp3	3031424	ok	
Bloodlines/09 - The Springs and the Fourth Name.mp3	162.552000	185	48000	2	mp3	3763096	ok	
Bloodlines/10 - The Years of the Long Knives.mp3	152.520000	182	48000	2	mp3	3486865	ok	
Bloodlines/11 - The Counting of Four.mp3	137.520000	181	48000	2	mp3	3121818	ok	
Bloodlines/12 - Four Fires.mp3	204.000000	184	48000	2	mp3	4705665	ok	
Dawn-of-the-Void/01 - The Scroll of Batad.mp3	268.008000	182	48000	2	mp3	6114460	ok	
Dawn-of-the-Void/02 - The First Singing.mp3	287.160000	186	48000	2	mp3	6700404	ok	
Dawn-of-the-Void/03 - The Cup of Emptiness (Tohu).mp3	247.968000	188	48000	2	mp3	5831093	ok	
Dawn-of-the-Void/04 - The Arithmetic of Four.mp3	233.328000	183	48000	2	mp3	5357770	ok	
Dawn-of-the-Void/05 - The Whisper at the Edge.mp3	253.512000	185	48000	2	mp3	5866933	ok	
Dawn-of-the-Void/06 - The First Wanting.mp3	199.032000	193	48000	2	mp3	4823182	ok	
Dawn-of-the-Void/07 - The Healer's Hand.mp3	283.632000	183	48000	2	mp3	6508187	ok	
Dawn-of-the-Void/08 - The Stolen Light.mp3	144.024000	187	48000	2	mp3	3381540	ok	
Dawn-of-the-Void/09 - The Five Sentences.mp3	213.888000	185	48000	2	mp3	4968740	ok	
Dawn-of-the-Void/10 - Stepping Off the Threshold.mp3	254.352000	183	48000	2	mp3	5829325	ok	
Dawn-of-the-Void/11 - The Famine in the War.mp3	186.672000	189	48000	2	mp3	4414381	ok	
Dawn-of-the-Void/12 - The Dragon and the Wall.mp3	292.440000	187	48000	2	mp3	6864864	ok	
Dawn-of-the-Void/13 - The Word Descends.mp3	377.400000	179	48000	2	mp3	8483867	ok	
Dawn-of-the-Void/14 - The Burial in the Waste.mp3	144.552000	180	48000	2	mp3	3256468	ok	
Dawn-of-the-Void/15 - The Keeper of the Door.mp3	393.048000	182	48000	2	mp3	8981845	ok	
The-Amuyao-Covenant/01 - The Return.mp3	221.352000	192	48000	2	mp3	5335910	ok	
The-Amuyao-Covenant/02 - Iron in the Water.mp3	189.624000	187	48000	2	mp3	4433078	ok	
The-Amuyao-Covenant/03 - Four-Part Harmony.mp3	479.424000	187	48000	2	mp3	11248642	ok	
The-Amuyao-Covenant/04 - The Ravine.mp3	189.072000	186	48000	2	mp3	4408924	ok	
The-Amuyao-Covenant/05 - What Was Taken.mp3	202.392000	178	48000	2	mp3	4528135	ok	
The-Amuyao-Covenant/06 - The Mountain Calls.mp3	211.512000	184	48000	2	mp3	4886183	ok	
The-Amuyao-Covenant/07 - The Stone Circle.mp3	217.680000	191	48000	2	mp3	5220352	ok	
The-Amuyao-Covenant/08 - First Sacrament.mp3	195.000000	188	48000	2	mp3	4589439	ok	
The-Amuyao-Covenant/09 - The Knife and the Throat.mp3	177.672000	182	48000	2	mp3	4053618	ok	
The-Amuyao-Covenant/10 - Hive Heart.mp3	434.184000	178	48000	2	mp3	9660875	ok	
The-Amuyao-Covenant/11 - The Empresses of Hunger.mp3	298.752000	180	48000	2	mp3	6752100	ok	
The-Amuyao-Covenant/12 - The Covenant.mp3	184.272000	182	48000	2	mp3	4207304	ok	
The-Darkness-Arrives-in-Cebu/01 - Forty-Four Years.mp3	147.552000	179	48000	2	mp3	3319696	ok	
The-Darkness-Arrives-in-Cebu/02 - The Fleet at Navidad.mp3	146.928000	184	48000	2	mp3	3387011	ok	
The-Darkness-Arrives-in-Cebu/03 - One Blood (The Sandugo).mp3	138.192000	185	48000	2	mp3	3209780	ok	
The-Darkness-Arrives-in-Cebu/04 - Sugbo in Ashes.mp3	154.728000	183	48000	2	mp3	3541857	ok	
The-Darkness-Arrives-in-Cebu/05 - The Child in the Box.mp3	152.352000	185	48000	2	mp3	3539242	ok	
The-Darkness-Arrives-in-Cebu/06 - Urdaneta's Doubt.mp3	164.760000	183	48000	2	mp3	3786857	ok	
The-Darkness-Arrives-in-Cebu/07 - Nara the Keeper.mp3	139.080000	183	48000	2	mp3	3186027	ok	
The-Darkness-Arrives-in-Cebu/08 - The Fourth Name Is Not Hers.mp3	132.912000	185	48000	2	mp3	3080911	ok	
The-Darkness-Arrives-in-Cebu/09 - Villa de San Miguel.mp3	114.120000	182	48000	2	mp3	2604213	ok	
The-Darkness-Arrives-in-Cebu/10 - The Galleon's Hold.mp3	112.512000	191	48000	2	mp3	2689387	ok	
The-Darkness-Arrives-in-Cebu/11 - Tornaviaje (The Sunrising Road).mp3	107.112000	183	48000	2	mp3	2455764	ok	
The-Darkness-Arrives-in-Cebu/12 - What the New World Will Remember.mp3	169.512000	180	48000	2	mp3	3822244	ok	
